Place;Object;Gender;Date;Honeytask;Ropetask;Humantask;Age;Weight
Borneo;Amor;m;02.03.14;no;yes;yes;10;25
Borneo;Amor;m;03.03.14;no;yes;yes;10;25
Borneo;Amor;m;04.03.14;no;yes;yes;10;25
Borneo;Amor;m;05.03.14;no;yes;yes;10;25
Borneo;Amor;m;06.03.14;no;yes;yes;10;25
Borneo;Amor;m;07.03.14;no;yes;yes;10;25
Borneo;Amor;m;08.03.14;no;yes;yes;10;25
Borneo;Balinga;f;02.03.14;no;no;yes;5;22
Borneo;Balinga;f;03.03.14;yes;no;yes;5;22
Borneo;Balinga;f;04.03.14;yes;no;yes;5;22
Borneo;Balinga;f;05.03.14;yes;no;yes;5;22
Borneo;Balinga;f;06.03.14;yes;no;yes;5;22
Borneo;Balinga;f;07.03.14;yes;no;yes;5;22
Borneo;Balinga;f;08.03.14;yes;no;yes;5;22
Borneo;Balinga;f;09.03.14;yes;no;yes;5;22
Borneo;Balinga;f;10.03.14;yes;no;yes;5;22
Borneo;Balinga;f;11.03.14;yes;no;yes;5;22
Borneo;Balinga;f;12.03.14;yes;no;yes;5;22
Borneo;Balinga;f;13.03.14;yes;no;yes;5;22
Sumatra;Theo;m;02.03.14;no;no;yes;7;29
Sumatra;Theo;m;03.03.14;no;no;yes;7;29
Sumatra;Theo;m;04.03.14;no;no;yes;7;29
Sumatra;Theo;m;05.03.14;no;no;yes;7;29
Sumatra;Theo;m;06.03.14;no;no;yes;7;29
Sumatra;Theo;m;07.03.14;no;no;yes;7;29
Sumatra;Theo;m;08.03.14;no;no;yes;7;29
Sumatra;Theo;m;09.03.14;no;no;yes;7;29
Sumatra;Theo;m;10.03.14;no;no;yes;7;29
Sumatra;Theo;m;11.03.14;yes;no;yes;7;29
Sumatra;Theo;m;12.03.14;yes;yes;yes;7;29
Sumatra;Pandai;f;02.03.14;no;yes;yes;9;19
Sumatra;Pandai;f;03.03.14;no;yes;yes;9;19
Sumatra;Pandai;f;04.03.14;yes;yes;yes;9;19
Sumatra;Pandai;f;05.03.14;yes;yes;yes;9;19
Sumatra;Pandai;f;06.03.14;yes;yes;yes;9;19
Sumatra;Pandai;f;07.03.14;yes;yes;yes;9;19
Sumatra;Pandai;f;08.03.14;yes;yes;yes;9;19
Sumatra;Pandai;f;09.03.14;yes;yes;yes;9;19
Sumatra;Pandai;f;10.03.14;yes;yes;yes;9;19
